originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,origin_show,destination_show
15,Brock,15,Brock,0,0,0,1033000,,Brock,Brock,Brock,Brock,0,0,0,1033000,1,1
15,Brock,9,Cam,0,0,0,163000,,Brock,Brock,Cam,Cam,0,0,0,163000,1,1
15,Brock,6,Chad,0,0,0,443000,,Brock,Brock,Chad,Chad,0,0,0,443000,1,1
15,Brock,12,Clayton,0,0,0,134000,,Brock,Brock,Clayton,Clayton,0,0,0,134000,1,1
15,Brock,8,Dehaan,0,0,0,74000,,Brock,Brock,Dehaan,Dehaan,0,0,0,74000,1,1
15,Brock,11,Dubov,0,0,0,521000,,Brock,Brock,Dubov,Dubov,0,0,0,521000,1,1
15,Brock,14,Dylan,0,0,0,155000,,Brock,Brock,Dylan,Dylan,0,0,0,155000,1,1
15,Brock,2,Erik,0,0,0,777000,,Brock,Brock,Erik,Erik,0,0,0,777000,1,1
15,Brock,7,Houman,0,0,0,94000,,Brock,Brock,Houman,Houman,0,0,0,94000,1,1
15,Brock,3,Ian,0,0,0,457000,,Brock,Brock,Ian,Ian,0,0,0,457000,1,1
15,Brock,0,Jimmy,0,0,0,9000,,Brock,Brock,Jimmy,Jimmy,0,0,0,9000,1,1
15,Brock,10,Mark,0,0,0,310000,,Brock,Brock,Mark,Mark,0,0,0,310000,1,1
15,Brock,13,Matt,0,0,0,226000,,Brock,Brock,Matt,Matt,0,0,0,226000,1,1
15,Brock,4,Rengel,0,0,0,197000,,Brock,Brock,Rengel,Rengel,0,0,0,197000,1,1
15,Brock,1,Scott,0,0,0,3000,,Brock,Brock,Scott,Scott,0,0,0,3000,1,1
9,Cam,15,Brock,0,0,0,144000,,Cam,Cam,Brock,Brock,0,0,0,144000,1,1
9,Cam,9,Cam,0,0,0,946000,,Cam,Cam,Cam,Cam,0,0,0,946000,1,1
9,Cam,6,Chad,0,0,0,519000,,Cam,Cam,Chad,Chad,0,0,0,519000,1,1
9,Cam,12,Clayton,0,0,0,56000,,Cam,Cam,Clayton,Clayton,0,0,0,56000,1,1
9,Cam,8,Dehaan,0,0,0,53000,,Cam,Cam,Dehaan,Dehaan,0,0,0,53000,1,1
9,Cam,11,Dubov,0,0,0,490000,,Cam,Cam,Dubov,Dubov,0,0,0,490000,1,1
9,Cam,14,Dylan,0,0,0,108000,,Cam,Cam,Dylan,Dylan,0,0,0,108000,1,1
9,Cam,2,Erik,0,0,0,593000,,Cam,Cam,Erik,Erik,0,0,0,593000,1,1
9,Cam,7,Houman,0,0,0,61000,,Cam,Cam,Houman,Houman,0,0,0,61000,1,1
9,Cam,3,Ian,0,0,0,164000,,Cam,Cam,Ian,Ian,0,0,0,164000,1,1
9,Cam,0,Jimmy,0,0,0,9000,,Cam,Cam,Jimmy,Jimmy,0,0,0,9000,1,1
9,Cam,5,Kimble,0,0,0,2000,,Cam,Cam,Kimble,Kimble,0,0,0,2000,1,1
9,Cam,10,Mark,0,0,0,175000,,Cam,Cam,Mark,Mark,0,0,0,175000,1,1
9,Cam,13,Matt,0,0,0,219000,,Cam,Cam,Matt,Matt,0,0,0,219000,1,1
9,Cam,4,Rengel,0,0,0,170000,,Cam,Cam,Rengel,Rengel,0,0,0,170000,1,1
9,Cam,1,Scott,0,0,0,1000,,Cam,Cam,Scott,Scott,0,0,0,1000,1,1
6,Chad,15,Brock,0,0,0,495000,,Chad,Chad,Brock,Brock,0,0,0,495000,1,1
6,Chad,9,Cam,0,0,0,465000,,Chad,Chad,Cam,Cam,0,0,0,465000,1,1
6,Chad,6,Chad,0,0,0,4222000,,Chad,Chad,Chad,Chad,0,0,0,4222000,1,1
6,Chad,12,Clayton,0,0,0,155000,,Chad,Chad,Clayton,Clayton,0,0,0,155000,1,1
6,Chad,8,Dehaan,0,0,0,215000,,Chad,Chad,Dehaan,Dehaan,0,0,0,215000,1,1
